strategy,IWM,QQQ,SPY
BuyHold,0.0638515652888711,0.3686326698020336,0.3248175932040611
MOM,-0.15934886496388537,-0.014116552515460309,-0.27035814871475894
MOM+HMM,0.22554893463453418,0.38427869334529047,0.29241611708804666
MR,0.5373414121674923,0.38864320345454767,0.5456433719127832
MR+HMM,0.8583692274825218,0.1946460114867914,0.6927377883972548
HYB_default,0.06385723329650299,0.45601451085539496,0.07946999027480593
HYB_contrarian,0.6839461991100201,0.08097880917124597,0.13549234107912336
HYB_bullmom,-0.36885319276130585,0.34545007833918095,-0.1284626500234816
HYB_calmonly,0.0005835889452306153,0.43409142716153687,-0.10045298522265111
BLEND50,0.09382703323216053,-0.08049891101813106,-0.18368928199688928
